[2024-09-01T08:41:38.055+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-01T08:41:38.075+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:41:16+00:00 [queued]>
[2024-09-01T08:41:38.085+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:41:16+00:00 [queued]>
[2024-09-01T08:41:38.085+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-09-01T08:41:38.101+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): log_results> on 2024-09-01 08:41:16+00:00
[2024-09-01T08:41:38.110+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=286) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-01T08:41:38.111+0000] {standard_task_runner.py:72} INFO - Started process 288 to run task
[2024-09-01T08:41:38.112+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'nyc_airbnb_etl', 'log_results', 'manual__2024-09-01T08:41:16+00:00', '--job-id', '211', '--raw', '--subdir', 'DAGS_FOLDER/nyc_airbnb_etl.py', '--cfg-path', '/tmp/tmprvslm1sz']
[2024-09-01T08:41:38.113+0000] {standard_task_runner.py:105} INFO - Job 211: Subtask log_results
[2024-09-01T08:41:38.160+0000] {task_command.py:467} INFO - Running <TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:41:16+00:00 [running]> on host b74353bc56c3
[2024-09-01T08:41:38.250+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_airbnb_etl' AIRFLOW_CTX_TASK_ID='log_results' AIRFLOW_CTX_EXECUTION_DATE='2024-09-01T08:41:16+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-01T08:41:16+00:00'
[2024-09-01T08:41:38.251+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-09-01T08:41:38.252+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-09-01T08:41:38.253+0000] {logging_mixin.py:190} INFO - Current task name:log_results state:running start_date:2024-09-01 08:41:38.076591+00:00
[2024-09-01T08:41:38.253+0000] {logging_mixin.py:190} INFO - Dag name:nyc_airbnb_etl and current dag run status:running
[2024-09-01T08:41:38.254+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-01T08:41:38.265+0000] {base.py:84} INFO - Retrieving connection 'test-connection'
[2024-09-01T08:41:38.269+0000] {sql.py:509} INFO - Running statement: SELECT * FROM information_schema.tables, parameters: None
[2024-09-01T08:41:38.287+0000] {sql.py:518} INFO - Rows affected: 243
[2024-09-01T08:41:38.289+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.304+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.305+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.305+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.306+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.306+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.307+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.307+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.308+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.308+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.309+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.309+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.310+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.310+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.310+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.311+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.312+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.312+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.313+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.313+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_progress_cluster', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.314+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_progress_create_index', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.314+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_progress_basebackup', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.315+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_user_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.315+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.316+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.316+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.317+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.317+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.318+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.318+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.319+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.319+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.320+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.320+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.321+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.321+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.322+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.322+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.323+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.323+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.324+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.324+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.325+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.325+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.326+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.326+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.327+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.327+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.328+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.328+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.329+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.329+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.330+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.330+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.331+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.331+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:41:38.332+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.332+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.333+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.333+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.334+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.335+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.335+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.336+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.336+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.337+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.337+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.338+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.338+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.338+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.339+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.340+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.340+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.341+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.341+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.342+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.342+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_timezone_names', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.343+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_sys_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.344+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.344+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_xact_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.345+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.345+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_xact_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.346+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.346+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_xact_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.347+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statio_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.348+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statio_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:41:38.348+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_user_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
